Division,Division_Description,Sub_Division,Sub_Division_Description,Group,Group_Description,Family,Family_Description,Unit_Code,Unit_Title,Unit_Description,NCO_2004,QP_NOS Reference,QP_NOS Name,NSQF_Level,text
d,,,,,,1111 Legislators,,1111.01,,,1111.10,,,,
,,,,,,1111 Legislators,,1111.02,,,1112.10,,,,
,,,,,,1111 Legislators,,1111.03,,,1113.10,,,,
,,,,,,1111 Legislators,,1111.99,,,1119.90,,,,
,,,,,,1112 Senior Government Officials,,1112.01,,,1121.10,,,,
,,,,,,1112 Senior Government Officials,,1112.02,,,1121.20,,,,
,,,,,,1112 Senior Government Officials,,1112.03,,,1121.30,,,,
,,,,,,1112 Senior Government Officials,,1112.04,,,1122.10,,,,
,,,,,,1112 Senior Government Officials,,1112.05,,,1122.20,,,,
,,,,,,1112 Senior Government Officials,,1112.06,,,1123.10,,,,
,,,,,,1112 Senior Government Officials,,1112.07,,,1123.20,,,,
,,,,,,1112 Senior Government Officials,,1112.08,,,1124.10,,,,
,,,,,,1112 Senior Government Officials,,1112.99,,,1129.90,,,,
,,,,,,1114 Senior Officials of Special-interest Organizations,,1114.01,,,1141.10,,,,
,,,,,,1114 Senior Officials of Special-interest Organizations,,1114.02,,,1142.00,,,,
,,,,,,1114 Senior Officials of Special-interest Organizations,,1114.03,,,1143.10,,,,
,,,,,,1114 Senior Officials of Special-interest Organizations,,1114.99,,,1143.90,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.01,,,1211.10,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.02,,,1211.20,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.03,,,1211.30,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.04,,,1211.40,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.05,,,1211.50,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.06,,,1211.60,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.07,,,1212.10,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.08,,,1212.20,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.09,,,1213.10,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.1,,,1213.20,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.11,,,1213.30,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.12,,,1213.40,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.13,,,1213.50,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.14,,,1213.60,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.15,,,1213.70,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.16,,,1213.80,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.17,,,1214.10,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.18,,,1214.20,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.19,,,1214.30,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.2,,,1214.40,,,,
